Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2022;Gasto ejecutado año en curso;Importe 2023;Importe 2024;Importe 2025;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;131;DEPORTE;2021/001117;DEPORTIVO BÁSICO LOS POBLADOS. ACONDICIONAMIENTO CAMPO DE FÚTBOL Y VESTUARIOS;2022;2022;;211;CARABANCHEL;AV.DE LOS POBLADOS,106;AVENIDA;DE LOS POBLADOS;106;'40.37376874611199;-3.735160474061030;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;1490000;335401,6;;;;;335401,6;1490000;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2016;2023;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;40.37320354825461;-3.5599462399323714;09;MEDIO AMBIENTE;109768,77;400000;;3300000;;;;109768,77;3809768,77;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;2017;2023;;203;RETIRO;PLAZA  INDEPENDENCIA, 7 ;PLAZA;DE LA INDEPENDENCIA;7;40.419683887311045;-3.6879969384116786;09;MEDIO AMBIENTE;21417;400000;56628;1600000;;;;78045;2021417;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000344;NUEVA PLANTA DE MATERIA ORGÁNICA EN EL PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;2022;2023;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;CASCO HISTÓRICO DE VALLECAS;;40.336444;-3.577083;09;MEDIO AMBIENTE;;18146775;452754,41;13849313,66;;;;452754,41;31996088,66;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000374;ENSANCHE DE VALLECAS. ACONDICIONAMIENTO DE CAMINOS Y ZONAS ESTANCIALES;2019;2022;2022;218;VILLA DE VALLECAS;ENSANCHE DE VALLECAS;ENSANCHE DE;ENSANCHE DE VALLECAS;;40.365205725985575;-3.594149223122848;09;MEDIO AMBIENTE;1867152,72;323794;369589,82999999984;;;;;2236742,55;2236742,55;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-000374_ENSANCHE_VALLECAS._CAMINOS_Y_Z.ESTANCIAL.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000544;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE REJAS. OBRAS ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CAMINO DE LA MUÑOZA;CAMINO;DE LA MUÑOZA;;40.451781227823204;-3.535458209657427;09;MEDIO AMBIENTE;58320,2;1206920;;17000000;17000000;17000000;19038163,52;58320,2;71303403,72;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000545;ESTACIÓN REGENERADORA DE AGUAS RESIDUALES DE VALDEBEBAS. OBRAS DE ADECUACIÓN Y MEJORA;2020;2026;;221;BARAJAS;CARRETERA ANTIGUA DE PARACUELLOS DE JARAMA, 44;CARRETERA;ANTIGUA DE PARACUELLOS DE JARAMA;44;40.4944431;-3.5501484;09;MEDIO AMBIENTE;53753,12;1873014;60426,43;20390000;20390000;20390000;6841340,92;114179,55;69938108,04;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/000666;COLECTOR VICÁLVARO A, SECTOR LOS AHIJONES. CONSTRUCCIÓN;2019;2022;;219;VICÁLVARO;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;ÁMBITO UZPP 2.03 LOS AHIJONES Y ÁMBITO UZPP 2.04 LOS BERROCALES;;40.38058555358565;-3.5665939694949285;09;MEDIO AMBIENTE;235646,03999999998;13676518;10500095,82;;;;;10735741,86;13912164,04;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/003546;PARQUE DEL PARAÍSO. OBRAS DE ADECUACIÓN Y MEJORA (ID 18: 409);2020;2024;;220;SAN BLAS-CANILLEJAS;AVENIDA DE ARCENTALES C/V CALLE ALBAIDA;AVENIDA DE;DE ARCENTALES C/V CALLE ALBAIDA;;40.434248;-3.612367;09;MEDIO AMBIENTE;247968,52;499837;366639,27;100000;2000000;;;614607,79;2847805,52;EN PROCESO;;;2025-05-12
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/004321;DEPURADORA DE BUTARQUE CONSOLIDACIÓN DE LOS TERRENOS;2020;2023;;217;VILLAVERDE;AVENIDA DE LOS ROSALES, 399  ;AVENIDA;DE LOS ROSALES;399;40.334267204235616;-3.6637888028978547;09;MEDIO AMBIENTE;60441,94;220000;;3280000;;;;60441,94;3560441,94;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/004325;PARQUE GARRIGUES WALKER.REHABILITACION Y ORDENACION DE USOS;2021;2022;2022;213;PUENTE DE VALLECAS;RONDA DEL SUR 10   C/V AVDA JOAQUIN GARRIGUIES WALKER ;RONDA;SUR C/V AVDA JOAQUIN GARRIGUIES WALKER;10;40.37549439;-3.67140488;09;MEDIO AMBIENTE;138558,9;1190687;894115,15;;;;;1032674,05;1032674,05;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2019-004325_PARQUE_GARRIGUES_WALKER.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000278;OBRAS EJECUCIÓN NUDO NORTE M-30 MADRID;2020;2023;;"205 (30%) - 
208 (70%)";FUENCARRAL-EL PARDO - CHAMARTÍN;ENTRE AVENIDA DE LA ILUSTRACIÓN Y NUDO DE MANOTERAS, TRAMO DESDE EL PK 30+300 HASTA EL 32+200;;ENTRE AVENIDA DE LA ILUSTRACIÓN Y NUDO DE MANOTERAS, TRAMO DESDE EL PK 30+300 HASTA EL 32+200;;40.4833757449582;-3.6813940831152716;07;INFRAESTRUCTURAS;20692763,99;24900000;30487458,76;4200000;;;;51180222,75;49792763,989999995;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000323;COLECTOR EN C/ EDUARDO BARREIROS. CONSTRUCCIÓN;2020;2022;2022;217;VILLAVERDE;CALLE EDUARDO BARREIROS;CALLE;EDUARDO BARREIROS;;40.35898888676473;-3.702677103983562;09;MEDIO AMBIENTE;897916,9;1280100;1476834,6600000001;;;;;2374751,56;2374751,56;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2020-000323_COLECTOR_EDUARDO_BARREIROS.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2020/000429;ZONA VERDE ENTRE C/ REAL DE ARGANDA Y C/ PUENTELARRA. REMODELACIÓN;2020;2022;2022;218;VILLA DE VALLECAS;C/ REAL DE ARGANDA Y C/ PUENTELARRA;CALLE;REAL DE ARGANDA C/V C/ PUENTELARRA;;40.37834065383159;-3.609308108517031;09;MEDIO AMBIENTE;155823,39;1229726;931992,6900000001;;;;;1087816,08;1087816,08;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2022/2020-000429_ZONA_VERDE_C.REAL_ARGANDA-PUENTELARRA.jpg;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000001;CENTRO DE TRATAMIENTO  LAS DEHESAS. SISTEMAS DE DESODORIZACIÓN;2022;2022;;218;VILLA DE VALLECAS;CENTRO DE TRATAMIENTO  LAS DEHESAS;;CENTRO DE TRATAMIENTO  LAS DEHESAS;;40.33552477;-3.58243889;09;MEDIO AMBIENTE;;4911311;;;;;;;4911311;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000002;CENTRO DE TRATAMIENTO LA PALOMA. SISTEMAS DE DESODORIZACIÓN;2022;2024;;218;VILLA DE VALLECAS;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;PARQUE TECNOLÓGICO DE VALDEMINGÓMEZ;;40.33756827;-3.5755459;09;MEDIO AMBIENTE;;5456003;60476,96;;86298;;;60476,96;5542301;EN PROCESO;;;2023-02-23
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000347;"PARQUE DE LAS CRUCES, DISTRITO DE CARABANCHEL. REHABILITACIÓN (ID 19: 9283;11756)";2021;2022;;211;CARABANCHEL;AVENIDA POBLADOS C/V CALLE CONSUELO GUZMÁN C/V VIDAUBA;AVENIDA DE;LOS POBLADOS C/V CALLE CONSUELO GUZMÁN C/V VIDAUBA;;40.376885;-3.753343;09;MEDIO AMBIENTE;39993,57;1918590;173640,43;;;;;213634;1958583,57;EN PROCESO;;;2023-02-23
