Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;TipoVial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2025;Gasto ejecutado año en curso;Importe 2026;Importe 2027;Importe 2028;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_fotografia;Fecha de los datos;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/000440;CUÑA NORTE DE O´DONNELL. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;215;CIUDAD LINEAL;CUÑA NORTE DE O´DONELL;;CUÑA NORTE DE O´DONELL;;40.4156699;-3.62947201;06;URBANISMO;10561713,25;497725,00;296820,48;;;;;10858533,73;11059438,25;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2021/001298;ÁMBITO CORREDOR NATURAL Y PARQUE FLUVIAL DEL ARROYO DE BUTARQUE. EJECUCIÓN DEL BOSQUE METROPOLITANO;2021;2025;;217;VILLAVERDE;CALLE DE LA HULLA;CALLE;DE LA HULLA;;40.341278;-3.671583;06;URBANISMO;3270376,84;1500000,00;;;;;;3270376,84;4770376,84;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2022/001489;MADRID NUEVO NORTE, NUDO DE FUENCARRAL. SOLUCIONES VIARIAS CONEXIÓN M-40, M-607 Y M-603;2022;2030;;208,00;FUENCARRAL-EL PARDO;CARRETERA DE COLMENAR VIEJO M-607, PK 13, 28049 MADRID;CARRETERA;COLMENAR VIEJO;13;40.57311763290568;-3.7040922929278053;07;INFRAESTRUCTURAS;505135,47;;;1200000,00;35000000,00;70000000,00;87000000,00;505135,47;193705135,47;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001006;CAMPUS SUR UNIVERSIDAD POLITÉCNICA DE MADRID Y ENTORNOS ESCOLARES VALLECAS. ZONAS DE BAJAS EMISIONES;2023;2025;;213 (70%) - 218 (30%);PUENTE DE VALLECAS - VILLA DE VALLECAS;Avenida del Campus Sur (recinto universitario);AVENIDA;DEL CAMPUS SUR;;40.387788;-3.6308581;07;INFRAESTRUCTURAS;2376703,30;9025279,00;3230912,82;;;;;5607616,12;11401982,30;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001014;CAMPO DE FÚTBOL EN ARAVACA, C/ESCULTOR PERESEJO, BOSQUE METROPOLITANO. CONSTRUCCIÓN;2025;2026;;209;MONCLOA-ARAVACA;C/ Escultor Peresejo 94;CALLE;DEL ESCULTOR PERESEJO;94;40.452722372430600;-3.791872894861590;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;;;;1500000,00;;;;0,00;1500000,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001016;ÁMBITO DE LA CUÑA VERDE DE O´DONNELL SUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2025;2025;;214;MORATALAZ;C/ ARROYO DE LA MEDIA LEGUA C.V. M23  ;CALLE;ARROYO DE VLA MEDIA LEGUA C/V M-23;;40.414187570960046;-3.649254368392708;06;URBANISMO;;1500000,00;;;;;;0,00;1500000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/001542;JUNTA DE COMPENSACIÓN US 4.10 SOLANA DE VALDEBEBAS. URBANIZACIÓN;2023;2028;;216;HORTALEZA;;;;;40.506889;-3.616083;06;URBANISMO;381690,57;100000,00;217255,47;300000,00;300000,00;300000,00;;598946,04;1381690,57;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003004;CAMPOS DE FÚTBOL EN VALDEBEBAS (INSTALACIONES SOTENIBLES). CONSTRUCCIÓN (ID 21: 17695);2024;2025;;216;HORTALEZA;C/ Félix Candela c.v. Luis Moya Blanco c.v Josefina Aldecoa;CALLES;DE FÉLIX CANDELA C/V LUIS MOYA BLANCO Y JOSEFINA ALDECOA;;40.497327;-3.615194;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;218377,27;1950000,00;9535,73;;;;;227913,00;2168377,27;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2023/003050;AVENIDA DE LAS TRECE ROSAS. AMPLIACIÓN, MEJORA DE LA MOVILIDAD Y ESPACIOS ESTANCIALES (ID 21: 17665);2024;2026;;215;CIUDAD LINEAL;AVENIDA DE LAS TRECE ROSAS;AVENIDA;DE LAS TRECE ROSAS;;40.422692;-3.647900;07;INFRAESTRUCTURAS;54074,67;1500000,00;;100000,00;;;;54074,67;1654074,67;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2024/000216;PARQUE DE CANILLEJAS. OBRAS DE REFORMA INTEGRAL;2024;2026;;220;SAN BLAS-CANILLEJAS;CALLE DE CIRCE 57;CALLE;DE CIRCE;57;40.4423525;-3.6107376;09;MEDIO AMBIENTE;19989,55;;;1010000,00;;;;19989,55;1029989,55;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2024/001008;BARRIO DE ORCASUR. EJECUCIÓN DEL BOSQUE METROPOLITANO;2025;2025;;212;USERA;CALLE ARENAS DEL REY;CALLE;DE ARENAS DEL REY;;40.364439;-3.700898;06;URBANISMO;;1468128,00;;;;;;0,00;1468128,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2025/001006;ÁMBITO DE LA AVENIDA DE NIZA Y ZONAS ADYACENTES. OBRAS DE RENATURALIZACIÓN;2025;2025;;220;SAN BLAS-CANILLEJAS;AVENIDA DE NIZA;AVENIDA;DE NIZA;;40.432528;-3.606972;06;URBANISMO;;1500000,00;;;;;;0,00;1500000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;150;URBANISMO, MEDIO AMBIENTE Y MOVILIDAD;2025/001007;CALLE DE LA HULLA E INMEDIACIONES, ÁMBITO ARROYO DE BUTARQUE SUR. OBRAS DE RENATURALIZACIÓN;2025;2025;;217;VILLAVERDE;CALLE DE LA HULLA;CALLE;DE LA HULLA;;40.340889;-3.671528;06;URBANISMO;;1500000,00;;;;;;0,00;1500000,00;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2015/000224;AUMENTO DE LA CAPACIDAD DEL DESAGÜE DEL TRAMO INFERIOR ARROYO DE LOS MIGUELES;2015;2026;;219;VICÁLVARO;INICIO DEL CAUCE DEL ARROYO EN ÁMBITO UZPP 2.04 LOS BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;BERROCALES HASTA LAS INMEDIACIONES DE LA A3;;40.37320354825461;-3.5599462399323714;09;MEDIO AMBIENTE;109768,77;4388429,75;;600000,00;;;;109768,77;5098198,52;EN PROCESO;Importe 2025 es el Crédito Definitivo a 30/06/2025;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2017/000244;PARQUE DE LA CASA DE CAMPO. ACTUACIONES DE REHABILITACIÓN;2017;2025;;209;MONCLOA-ARAVACA;Parque de la Casa de Campo;PARQUE;DE LA CASA DE CAMPO;;40.423433;-3.758581;09;MEDIO AMBIENTE;4300794,60;1509818,00;1131591,41;;;;;5432386,01;5810612,60;EN PROCESO;;;30/06/2025;;
001;AYUNTAMIENTO;151;LIMPIEZA Y ZONAS VERDES;2017/000249;PARQUE DEL RETIRO. ACTUACIONES DE REHABILITACIÓN;2017;2027;;203;RETIRO;PLAZA  INDEPENDENCIA, 7 ;PLAZA;DE LA INDEPENDENCIA;7;40.419683887311045;-3.6879969384116786;09;MEDIO AMBIENTE;78045,00;;;400000,00;1500000,00;;;78045,00;1978045,00;EN PROCESO;Pendiente de habilitar Crédito en 2025;;30/06/2025;;
