Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ya ejecutado;Importe 2021;Gasto ejecutado año en curso;Importe 2022;Importe 2023;Importe 2024;Resto Anualidades;Gasto ejecutado;Presupuesto Total (Previsto);Estado;Observaciones;Url_Fotografia;Fecha de los datos
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000291;CALLE EDUARDO BARREIROS. REURBANIZACIÓN;2021;2021;;217;VILLAVERDE;CALLE EDUARDO BARREIROS;Calle;EDUARDO BARREIROS;;'40.35706418;'-3.70204189;6;URBANISMO;;12573448,00;3340206,55;;;;;3340206,55;12573448,00;EN PROCESO;;;14/02/2022
706;MADRID DESTINO, CULT.,TURISMO Y NEGOCIO, S.A.;130;CULTURA, TURISMO Y DEPORTE;MD/2017/002;OBRA CIVIL TEATRO ESPAÑOL (CALLE DEL PRÍNCIPE, 25);2017;2023;;201;CENTRO;Calle Del Príncipe, 25;Calle;del Príncipe;25;'40.4148623;'-3.7023538;10;CULTURA;656658,34;395000,00;;500000,00;700000,00;0,00;1000000,00;;3251658,34;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000329;PUERTA DEL SOL. OBRAS DE REMODELACIÓN;2021;2022;;201;CENTRO;PUERTA DEL SOL;;PUERTA DEL SOL;;'40.41691713;'-3.70355008;6;URBANISMO;;1850000,00;6655,00;13328772,00;;;;6655,00;15178772,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2021/000349;PARQUE DE PRADOLONGO, DISTRITO DE USERA. REHABILITACIÓN Y AMPLIACIÓN;2021;2022;;212;USERA;Avenida De Los Poblados C/V Calle Doctor Tolosa Latour Y Eduardo Barreiros;Avenida de;Los Poblados C/V Calle Doctor Tolosa Latour Y Eduardo Barreiros;;'40.371319;'-3.703703;9;MEDIO AMBIENTE;;30972,00;30971,99;1500000,00;;;;30971,99;1530972,00;EN PROCESO;;;14/02/2022
701;EMPRESA MUNICIPAL VIVIENDA Y SUELO, S.A.;161; VIVIENDA;28;VIVIENDA DE PROTECCIÓN PÚBLICA BÁSICA ALQUILER. PROMOCIÓN VILLAVERDE INGENIEROS;2019;2024;;217;VILLAVERDE;Contrucción Calle La Pícara Molinera, 62;Calle;La Pícara Molinera;62;'40.3545193;'-3.7050987;15;VIVENDA;421830,78;739537,79;;5718613,37;5000000,00;5937226,74;0,00;;17817208,68;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000253;CENTRO CULTURAL Y BIBLIOTECA EN LAS TABLAS. CONSTRUCCIÓN;2020;2023;;208;FUENCARRAL-EL PARDO;Calle Burguete, 5 C/V Castillo De Candanchú;Calle;Burguete, 5 C/V Castillo De Candanchú;;'40.50394934161540;'-3.6782276991385200;10;CULTURA;149638,28;231181,00;;3400000,00;1450000,00;;;149638,28;5230819,28;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000387;CENTRO DE MAYORES MIRASIERRA. CONSTRUCCIÓN;2021;2023;;208;FUENCARRAL-EL PARDO;Calle Peñavieja C/V Marbella, 59;Calle;Peñavieja C/V Marbella, 59;;'40.49453394197180;'-3.706395285041530;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;;200000,00;170636,03;3000000,00;850000,00;;;170636,03;4050000,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2019/003889;APARCAMIENTO EN LA PLAZA DE SANTO DOMINGO. CONSTRUCCIÓN;2020;2021;2021;201;CENTRO;PLAZA DE SANTO DOMINGO;Plaza;SANTO DOMINGO;;'40.42121849;'-3.70663669;7;INFRAESTRUCTURAS;1381794,81;2548995,00;3803176,24;;;;;5184971,05;5184971,05;FINALIZADO;;https://transparencia.madrid.es/FWProjects/transparencia/EconomiaYPresupuestos/PresAbiertos/Fotos2021/2021_2019-003889_StDomingo.jpg;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000082;ESCUELA INFANTIL EN EL PASEO DE LA DIRECCIÓN. CONSTRUCCIÓN;2021;2023;;206;TETUÁN;Paseo De La Dirección C/V Callealberdi;Paseo de;La Dirección C/V Callealberdi;;'40.465910;'-3.708061;5;EDUCACIÓN;;300000,00;;2100000,00;700000,00;;;;3100000,00;EN PROCESO;;;14/02/2022
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2017/000191;PISCINA CUBIERTA C/CEA BERMUDEZ. CONSTRUCCIÓN;2018;2021;;207;CHAMBERÍ;Calle Cea Bermudez 3 Y 5;Calle;Cea Bermudez;3 y 5;'40.4385953;'-3.7083185;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;864528,42;4796149,00;3970068,08;;;;;4834596,50;5660677,42;EN PROCESO;;;14/02/2022
