Centro;Descripcion Centro;Seccion;Descripcion Seccion;Código PEP;Denominación;Año inicio;Año de finalización previsto;Año de finalización;Distrito;Denominación Distrito;Dirección;Tipo Vial;Vial;Numero;X;Y;Latitud;Longitud;LÍNEA DE INVERSIÓN;DENOMINACIÓN LÍNEA DE INVERSIÓN;Gasto ejecutado;Importe 2023;Importe 2024;Importe 2025;Importe 2026;Resto Anualidades;Total previsto;Estado;Url complementaria1;Url complementaria2;Observaciones;Url_fotografia;Fecha de los datos
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000564;PLAZAS ÁGATA Y MAYOR DISTRITO VILLAVERDE. OBRAS DE REMODELACIÓN;2020;2023;;217;VILLAVERDE;Plaza Ágata;PLAZA;ÁGATA;;;;40.346812;-3.7091745;06;URBANISMO;1468220,36;1419794,23;;;;;2888014,59;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2020/000566;PLAZA DE LA EMPERATRIZ DISTRITO CARABANCHEL. OBRAS DE REMODELACIÓN;2020;2023;;211;CARABANCHEL;PLAZA DE LA EMPERATRIZ;PLAZA;DE LA EMPERATRIZ;;;;40.373473;-3.7516615;06;URBANISMO;1314263,62;1672179,12;;;;;2986442,74;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2021/000446;EDIFICIO MUNICIPAL C/ MONTAMARTA, 7. OBRAS DE ACONDICIONAMIENTO PARA CENTRO CULTURAL;2021;2025;;220;SAN BLAS-CANILLEJAS;CALLE DE MONTAMARTA, 7;CALLE;DE MONTAMARTA;7;;;40.4230284;-3.621095;10;CULTURA;308597,98;90195,02;1287329,20;314554,87;;;2000677,07;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;131;DEPORTE;2021/001118;PARQUE PARA DEPORTES URBANOS EN EL DISTRITO VILLAVERDE. CONSTRUCCIÓN;2021;2023;;217;VILLAVERDE;Pº PLATA Y CASTAÑAR, 5;PASEO;PLATA Y CASTAÑAR;5;;;40.350668;-3.721161;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;45141,76;1528417,95;;;;;1573559,71;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000294;CALLE BAILEN EN EL ENTORNO AL MUSEO DE COLECCIONES REALES. ADECUACIÓN ACCESOS;2023;2023;;201;CENTRO;CALLE DE BAILEN;CALLE;DE BAILEN;;;;40.414908;-3.7171685;08;MANTENIMIENTO URBANO;;1333822,14;;;;;1333822,14;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000295;CALLE ALCALÁ EN EL TRAMO: QUINTANA-ARTURO SORIA. DISTRITO DE CIUDAD LINEAL. REMODELACIÓN;2022;2023;;215;CIUDAD LINEAL;CALLE DE ALCALÁ;CALLE;DE ALCALÁ;;;;40.4350189;-3.6486273;06;URBANISMO;1431302,74;4202444,00;;;;;5633746,74;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000296;CALLE JUAN ÁLVAREZ MENDIZÁBAL DISTRITO DE MONCLOA-ARAVACA. OBRAS DE REMODELACIÓN;2023;2023;;209;MONCLOA-ARAVACA;CALLE DE JUAN ÁLVAREZ MENDIZÁBAL;CALLE;DE JUAN ÁLVAREZ MENDIZÁBAL;;;;40.4243759;-3.7137565;08;MANTENIMIENTO URBANO;;1957904,00;;;;;1957904,00;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/000301;CASCO HISTÓRICO DE BARAJAS. OBRAS DE PEATONALIZACIÓN;2023;2024;;221;BARAJAS;;;;;;;40.472061;-3.5842523;08;MANTENIMIENTO URBANO;;40922,00;3000000,00;;;;3040922,00;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;150;MEDIO AMBIENTE Y MOVILIDAD;2022/001032;MONTAÑA DE LOS GATOS EN LOS JARDINES DEL BUEN RETIRO. RECUPERACIÓN INTEGRAL;2022;2023;;203;RETIRO;Paseo de Fernán Nuñez S/N;PASEO;DE FERNÁN NÚÑEZ;S/N;;;40.421115828189;-3.68054383287722;09;MEDIO AMBIENTE;155257,20;1710673,04;;;;;1865930,24;EN PROCESO;;;;;24/03/2023
001;AYUNTAMIENTO;190;OBRAS Y EQUIPAMIENTOS;2022/001067;CENTRO DEPORTIVO CONCEPCIÓN. SUBSANACIÓN DE PATOLOGÍAS GRADERÍOS CAMPO DE FÚTBOL;2022;2023;;215;CIUDAD LINEAL;C/ JOSE DEL HIERRO, 5;CALLE;JOSÉ DEL HIERRO;5;;;40.4372662;-3.6484385;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;106155,24;1000000,00;;;;;1106155,24;EN PROCESO;;;;;24/03/2023
