Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea de Inversión;Descripción Línea de Inversión;Sublínea de Inversión;Descripción Sublínea de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible ;Re. Pte. Util.;C. Autorizado ;C. Dispuesto ;Obl. Reconoc. ;C. Ordenado ;Pagos Real
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;202;23103;62300;2024/001094;2024/001094;CENTRO INTERGENERACIONAL OUKA LEELE.PROGRAMA LIDERAZGO INTELIGENCIA ARTIFICIAL Y ROBÓTICA;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;17;FONDO REEQUILIBRIO TERRITORIAL;;;0;80400;80400;80400;0;0;0;0;0;0
;;1;202;23103;62599;2023/001149;2023/001149;NUEVO CENTRO DE MAYORES E INTERGENERACIONAL EN C/ BRONCE, DISTRITO ARGANZUELA. COCINA INDUSTRIAL;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;17;FONDO REEQUILIBRIO TERRITORIAL;;;133296;0;133296;100819,15;0;32476,85;32476,85;0;0;0
;;1;202;23103;62600;2024/000343;2024/000343;EQUIPAMIENTO CENTRO DE MAYORES E INTERGENERACIONAL EN CALLE BRONCE;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;;;;;500;0;500;500;0;0;0;0;0;0
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;202;23103;62600;2024/001094;2024/001094;CENTRO INTERGENERACIONAL OUKA LEELE.PROGRAMA LIDERAZGO INTELIGENCIA ARTIFICIAL Y ROBÓTICA;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;17;FONDO REEQUILIBRIO TERRITORIAL;;;0;4500;4500;4500;0;0;0;0;0;0
;;1;202;23103;62601;2024/000343;2024/000343;EQUIPAMIENTO CENTRO DE MAYORES E INTERGENERACIONAL EN CALLE BRONCE;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;;;;;8500;0;8500;8500;0;0;0;0;0;0
5;FONDO DE REEQUILIBRIO TERRITORIAL;1;202;23103;62601;2024/001094;2024/001094;CENTRO INTERGENERACIONAL OUKA LEELE.PROGRAMA LIDERAZGO INTELIGENCIA ARTIFICIAL Y ROBÓTICA;202;ARGANZUELA;3;PROTECCIÓN Y PROMOCIÓN SOCIAL;1;CENTROS DE MAYORES;;;17;FONDO REEQUILIBRIO TERRITORIAL;;;0;26640;26640;26640;0;0;0;0;0;0
;;1;202;33401;60999;2024/000434;2024/000434;PLACAS CONMEMORATIVAS EN VÍAS PÚBLICAS Y ZONAS VERDES DEL DISTRITO DE ARGANZUELA. INSTALACIÓN;202;ARGANZUELA;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;0;3491,25;3491,25;3491,25;0;0;0;0;0;0
;;1;202;33401;62600;2024/000344;2024/000344;EQUIPAMIENTO CENTRO CULTURAL DOTACIONAL INTEGRADO ARGANZUELA;202;ARGANZUELA;10;CULTURA;3;CENTROS CULTURALES;;;;;;;1800;0;1800;1800;0;0;0;0;0;0
;;1;202;33401;62999;2024/000433;2024/000433;PLACAS CONMEMORATIVAS EN EDIFICIOS E INSTALACIONES DEL DISTRITO DE ARGANZUELA. INSTALACIÓN;202;ARGANZUELA;10;CULTURA;5;PROMOCIÓN DE LA CULTURA;;;;;;;0;1163,75;1163,75;1163,75;0;0;0;0;0;0
;;1;202;34201;63301;2024/000345;2024/000345;EQUIPAMIENTO CENTROS DEPORTIVOS DEL DISTRITO DE ARGANZUELA;202;ARGANZUELA;11;DEPORTES, JUVENTUD  Y ESPARCIMIENTO;1;POLIDEPORTIVOS;;;;;;;1000;0;1000;1000;0;0;0;0;0;0
